numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0290070U,LYCEE TECHNOLOGIQUE,JEAN CHAPTAL,35  CHEMIN DES JUSTICES,QUIMPER CEDEX,029,29105,LYCEE TECHNOLOGIQUE JEAN CHAPTAL
0290071V,LPO LYCEE DES METIERS,YVES THEPOT,28 avenue YVES THEPOT,QUIMPER,029,29000,LPO LYCEE DES METIERS YVES THEPOT
0290072W,LYCEE PROFESSIONNEL,JEAN CHAPTAL,35  CHEMIN DES JUSTICES,QUIMPER CEDEX,029,29191,LYCEE PROFESSIONNEL JEAN CHAPTAL
0290078C,LYCEE PROFESSIONNEL,ROZ GLAS,1 place JEAN ZAY,QUIMPERLE CEDEX,029,29391,LYCEE PROFESSIONNEL ROZ GLAS
0310091F,LYCEE PROFESSIONNEL,STEPHANE HESSEL,44  CHEMIN CASSAING,TOULOUSE CEDEX 5,031,31079,LYCEE PROFESSIONNEL STEPHANE HESSEL
0311883D,LYCEE PROFESSIONNEL PRIVE,JASMIN COIFFURE,4 rue DES TEINTURIERS,TOULOUSE,031,31300,LYCEE PROFESSIONNEL PRIVE JASMIN COIFFURE
0311992X,GRETA GARONNE,LP LYCEE METIERS BAYARD,150 ROUTE DE LAUNAGUET,TOULOUSE CEDEX 2,031,31021,GRETA GARONNE LP LYCEE METIERS BAYARD
0311132M,LYCEE GENERAL PRIVE,L' ANNONCIATION,7 CHEMIN DE PERCIN,SEILH,031,31840,LYCEE GENERAL PRIVE L' ANNONCIATION
0311133N,LYCEE GENERAL ET TECHNO. PRIVE,LE CAOUSOU,42 avenue CAMILLE PUJOL,TOULOUSE CEDEX 5,031,31079,LYCEE GENERAL ET TECHNO. PRIVE LE CAOUSOU
0311134P,LYCEE POLYVALENT PRIVE,EMILIE DE RODAT,25  AVENUE DE LOMBEZ,TOULOUSE CEDEX 3,031,31027,LYCEE POLYVALENT PRIVE EMILIE DE RODAT
0311138U,LYCEE POLYVALENT PRIVE,MONTALEMBERT LES MARISTES,134  AVENUE DE LESPINET,TOULOUSE,031,31400,LYCEE POLYVALENT PRIVE MONTALEMBERT LES MARISTES
0311146C,LYCEE GENERAL ET TECHNO. PRIVE,SAINTE-MARIE DES CHAMPS,169  AVENUE JEAN RIEUX,TOULOUSE CEDEX 5,031,31506,LYCEE GENERAL ET TECHNO. PRIVE SAINTE-MARIE DES CHAMPS
0311147D,LYCEE GENERAL ET TECHNO. PRIVE,SAINTE-MARIE DE NEVERS,10 rue DU PERIGORD,TOULOUSE CEDEX 7,031,31070,LYCEE GENERAL ET TECHNO. PRIVE SAINTE-MARIE DE NEVERS
0291572B,LYCEE PROF.AGRICOLE PRIVE,JEANNE D'ARC,58 AVENUE WALTENHOFEN,PLABENNEC,029,29860,LYCEE PROF.AGRICOLE PRIVE JEANNE D'ARC
0291574D,LYCEE AGRICOLE PRIVE,DE KERBERNEZ,,PLOMELIN,029,29700,LYCEE AGRICOLE PRIVE DE KERBERNEZ
0291575E,LYCEE PROF AGRICOLE PRIVE,STE MARIE,1 RUE BOILEAU,PLOUIGNEAU,029,29610,LYCEE PROF AGRICOLE PRIVE STE MARIE
0300077W,LYCEE GEN.ET TECHNOL.PRIVE,BELLEVUE,11 rue DE LA GLACIERE,ALES,030,30100,LYCEE GEN.ET TECHNOL.PRIVE BELLEVUE
0300083C,LYCEE GEN.ET TECHNOL.PRIVE,SAINT STANISLAS - SACRE COEUR,16 rue DES CHASSAINTES,NIMES CEDEX 2,030,30906,LYCEE GEN.ET TECHNOL.PRIVE SAINT STANISLAS - SACRE COEUR
0310006N,LP LYCEE DES METIERS,DU BOIS,AVENUE DU BOIS CHANTANT,MONTAUBAN DE LUCHON,031,31110,LP LYCEE DES METIERS DU BOIS
0310024H,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE D'ARAGON,14 avenue HENRI PEYRUSSE,MURET CEDEX,031,31605,LYCEE GENERAL ET TECHNOLOGIQUE PIERRE D'ARAGON
0310028M,LGT LYCEE DES METIERS,VINCENT AURIOL,36 ROUTE DE SOREZE,REVEL,031,31250,LGT LYCEE DES METIERS VINCENT AURIOL
0310032S,LYCEE GENERAL ET TECHNOLOGIQUE,DE BAGATELLE,114 AVENUE FRANCOIS MITTERRAND,ST GAUDENS CEDEX,031,31806,LYCEE GENERAL ET TECHNOLOGIQUE DE BAGATELLE
0310033T,LYCEE PROFESSIONNEL,ELISABETH ET NORBERT CASTERET,27 AVENUE DE L'ISLE,ST GAUDENS CEDEX,031,31806,LYCEE PROFESSIONNEL ELISABETH ET NORBERT CASTERET
0300002P,LPO LYCEE DES METIERS,JEAN-BAPTISTE DUMAS,Place DE LA BELGIQUE,ALES CEDEX,030,30104,LPO LYCEE DES METIERS JEAN-BAPTISTE DUMAS
0300011Z,LYCEE PROFESSIONNEL,PAUL LANGEVIN,21 rue DE LA REDOUTE,BEAUCAIRE CEDEX,030,30301,LYCEE PROFESSIONNEL PAUL LANGEVIN
0300026R,LGT LYCEE DES METIERS,DHUODA,17  RUE DHUODA,NIMES CEDEX 2,030,30913,LGT LYCEE DES METIERS DHUODA
0300027S,LYCEE POLYVALENT,ERNEST HEMINGWAY,98  AVENUE JEAN JAURES,NIMES CEDEX 2,030,30910,LYCEE POLYVALENT ERNEST HEMINGWAY
0311728K,LYCEE TECHNOLOGIQUE PRIVE,BILLIERES,18 RUE DU 14 JUILLET,TOULOUSE,031,31100,LYCEE TECHNOLOGIQUE PRIVE BILLIERES
0300021K,LYCEE GENERAL ET TECHNOLOGIQUE,ALPHONSE DAUDET,3  BOULEVARD VICTOR HUGO,NIMES CEDEX 1,030,30039,LYCEE GENERAL ET TECHNOLOGIQUE ALPHONSE DAUDET
0300023M,LYCEE GENERAL ET TECHNOLOGIQUE,ALBERT CAMUS,51  AVENUE GEORGES POMPIDOU,NIMES CEDEX 2,030,30911,LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS
0330114V,LYCEE PROFESSIONNEL,PAUL BROCA,7 avenue DE VERDUN,STE FOY LA GRANDE,033,33220,LYCEE PROFESSIONNEL PAUL BROCA
0330115W,LYCEE GENERAL,RECLUS,7 avenue DE VERDUN,STE FOY LA GRANDE,033,33220,LYCEE GENERAL RECLUS
0331668J,LYCEE PROFESSIONNEL,MARCEL DASSAULT,3  RUE CHATEAUBRIAND,MERIGNAC CEDEX,033,33695,LYCEE PROFESSIONNEL MARCEL DASSAULT
0301552Z,LYCEE GENERAL ET TECHNOLOGIQUE,PHILIPPE LAMOUR,36 rue DE L OCCITANIE,NIMES CEDEX 5,030,30001,LYCEE GENERAL ET TECHNOLOGIQUE PHILIPPE LAMOUR
0311126F,LYCEE GENERAL PRIVE,LE FERRADOU,CHEMIN DU FERRADOU,BLAGNAC,031,31700,LYCEE GENERAL PRIVE LE FERRADOU
0311129J,LYCEE PRIVE,NOTRE DAME DE COMMINGES,6 RUE DU BARRY,MONTREJEAU,031,31210,LYCEE PRIVE NOTRE DAME DE COMMINGES
0290198H,LYCEE GENERAL PRIVE,ST ESPRIT,3  RUE EMILE SOUVESTRE,LANDIVISIAU CEDEX,029,29403,LYCEE GENERAL PRIVE ST ESPRIT
0290202M,LYCEE PROF PRIVE DES METIERS,ST GABRIEL,Rue JEAN LAUTREDOU,PONT L ABBE CEDEX,029,29125,LYCEE PROF PRIVE DES METIERS ST GABRIEL
0290206S,LYCEE POLYVALENT PRIVE,NOTRE DAME DE KERBERTRAND,154 RUE DE PONT-AVEN,QUIMPERLE CEDEX,029,29391,LYCEE POLYVALENT PRIVE NOTRE DAME DE KERBERTRAND
0310036W,LYCEE GENERAL,PIERRE DE FERMAT,PARVIS DES JACOBINS,TOULOUSE CEDEX 7,031,31068,LYCEE GENERAL PIERRE DE FERMAT
0310038Y,LYCEE POLYVALENT,BELLEVUE,135  ROUTE DE NARBONNE,TOULOUSE CEDEX 4,031,31031,LYCEE POLYVALENT BELLEVUE
0281021H,LP LYCEE DES METIERS,SULLY,8 rue DES VIENNES,NOGENT LE ROTROU CEDEX,028,28404,LP LYCEE DES METIERS SULLY
0300931Z,LYCEE PROFESSIONNEL AGRICOLE,,1099 CHEMIN DU MAS BOULBON,NIMES,030,30000,LYCEE PROFESSIONNEL AGRICOLE 
0270016W,LYCEE GENERAL ET TECHNOLOGIQUE,ARISTIDE BRIAND,2 rue PIERRE SEMARD,EVREUX CEDEX,027,27031,LYCEE GENERAL ET TECHNOLOGIQUE ARISTIDE BRIAND
0292140U,LYCEE PROF PRIVE DES METIERS,LA CROIX ROUGE LA SALLE,2 rue MIRABEAU,BREST CEDEX 2,029,29229,LYCEE PROF PRIVE DES METIERS LA CROIX ROUGE LA SALLE
0292144Y,LYCEE PROF PRIVE DES METIERS,LE LIKES - LA SALLE,20 place DE LA TOURBIE,QUIMPER CEDEX,029,29196,LYCEE PROF PRIVE DES METIERS LE LIKES - LA SALLE
0311323V,LYCEE GENERAL ET TECHNOLOGIQUE,RIVE GAUCHE,AVENUE JEAN BAYLET,TOULOUSE CEDEX 1,031,31081,LYCEE GENERAL ET TECHNOLOGIQUE RIVE GAUCHE
0311324W,LYCEE PROFESSIONNEL,DU MIRAIL,AVENUE JEAN BAYLET,TOULOUSE CEDEX 1,031,31081,LYCEE PROFESSIONNEL DU MIRAIL
0301654K,LPO LYCEE DES METIERS,GENEVIEVE DE GAULLE-ANTHONIOZ,43  RUE DU MOULIN,MILHAUD,030,30540,LPO LYCEE DES METIERS GENEVIEVE DE GAULLE-ANTHONIOZ
0310039Z,LYCEE GENERAL ET TECHNOLOGIQUE,MARCELIN BERTHELOT,14  RUE FRANÇOIS LONGAUD,TOULOUSE CEDEX 4,031,31078,LYCEE GENERAL ET TECHNOLOGIQUE MARCELIN BERTHELOT
0310041B,LYCEE GENERAL,SAINT-SERNIN,3  PLACE ST SERNIN,TOULOUSE CEDEX 7,031,31070,LYCEE GENERAL SAINT-SERNIN
0290336H,LYCEE GENERAL PRIVE,ESTRAN CHARLES DE FOUCAULD,32 RUE DE QUIMPER,BREST CEDEX 2,029,29238,LYCEE GENERAL PRIVE ESTRAN CHARLES DE FOUCAULD
0290337J,LYCEE GEN ET TECHNOL PRIVE,ESTRAN ST JOSEPH,240 RUE JEAN JAURES,BREST CEDEX 2,029,29287,LYCEE GEN ET TECHNOL PRIVE ESTRAN ST JOSEPH
0290338K,LYCEE GENERAL PRIVE,STE ANNE,20 rue LAMOTTE-PICQUET,BREST,029,29200,LYCEE GENERAL PRIVE STE ANNE
0330021U,LYCEE GENERAL,MICHEL MONTAIGNE,226  RUE SAINTE CATHERINE,BORDEAUX CEDEX,033,33075,LYCEE GENERAL MICHEL MONTAIGNE
0330023W,LYCEE GENERAL ET TECHNOLOGIQUE,CAMILLE JULLIAN,29 rue DE LA CROIX BLANCHE,BORDEAUX CEDEX,033,33074,LYCEE GENERAL ET TECHNOLOGIQUE CAMILLE JULLIAN
0330026Z,LYCEE GENERAL,FRANCOIS MAGENDIE,10  RUE DES TREUILS,BORDEAUX CEDEX,033,33023,LYCEE GENERAL FRANCOIS MAGENDIE
0312289V,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE-PAUL RIQUET,2 AVENUE DU LYCEE,ST ORENS DE GAMEVILLE,031,31650,LYCEE GENERAL ET TECHNOLOGIQUE PIERRE-PAUL RIQUET
0312290W,LYCEE GENERAL ET TECHNOLOGIQUE,HENRI MATISSE,AVENUE DU COMMINGES,CUGNAUX,031,31270,LYCEE GENERAL ET TECHNOLOGIQUE HENRI MATISSE
0330127J,LYCEE PROFESSIONNEL,,109 RUE CAMILLE PELLETAN,TALENCE,033,33400,LYCEE PROFESSIONNEL 
0330135T,LYCEE POLYVALENT,ALFRED KASTLER,14 avenue DE L UNIVERSITE,TALENCE CEDEX,033,33402,LYCEE POLYVALENT ALFRED KASTLER
0330142A,LYCEE PROFESSIONNEL,TREGEY RIVE DE GARONNE,24  RUE DE TREGEY,BORDEAUX CEDEX,033,33015,LYCEE PROFESSIONNEL TREGEY RIVE DE GARONNE
0330126H,LYCEE POLYVALENT,VICTOR LOUIS,2  AVENUE DE THOUARS,TALENCE CEDEX,033,33405,LYCEE POLYVALENT VICTOR LOUIS
0312191N,LYCEE PROFESSIONNEL PRIVE,ORT MAURICE GRYNFOGEL,14 RUE ETIENNE COLLONGUES,COLOMIERS,031,31770,LYCEE PROFESSIONNEL PRIVE ORT MAURICE GRYNFOGEL
0310057U,LP LYCEE DES METIERS,HELENE BOUCHER,1  RUE LUCIEN LAFFORGUE,TOULOUSE,031,31000,LP LYCEE DES METIERS HELENE BOUCHER
0290324V,LYCEE AGRICOLE PRIVE,AGROTECH FORMATION,,LESNEVEN,029,29260,LYCEE AGRICOLE PRIVE AGROTECH FORMATION
0311201M,LYCEE TECHNOLOGIQUE PRIVE,MYRIAM,9  RUE MAGE,TOULOUSE,031,31000,LYCEE TECHNOLOGIQUE PRIVE MYRIAM
0311213A,LYCEE TECHNOLOGIQUE PRIVE,ISSEC PIGIER,8  RUE FRANCOISE D EAUBONNE,TOULOUSE,031,31200,LYCEE TECHNOLOGIQUE PRIVE ISSEC PIGIER
0311219G,LYCEE PROF PRIVE DES METIERS,SAINTE-MARIE SAINT-SERNIN,19 boulevard ARMAND DUPORTAL,TOULOUSE,031,31000,LYCEE PROF PRIVE DES METIERS SAINTE-MARIE SAINT-SERNIN
0312267W,LYCEE GENERAL ET TECHNOLOGIQUE,DES ARENES,PLACE EMILE MALE,TOULOUSE CEDEX 3,031,31024,LYCEE GENERAL ET TECHNOLOGIQUE DES ARENES
0330029C,LYCEE GENERAL ET TECHNOLOGIQUE,NICOLAS BREMONTIER,152 cours DE L YSER,BORDEAUX,033,33800,LYCEE GENERAL ET TECHNOLOGIQUE NICOLAS BREMONTIER
0330031E,LP LYCEE DES METIERS,D'ART TOULOUSE LAUTREC,115  RUE JOSEPH ABRIA,BORDEAUX,033,33000,LP LYCEE DES METIERS D'ART TOULOUSE LAUTREC
0331561T,LYCEE PROF PRIVE DES METIERS,LA RUCHE,20 rue SAINTE MARIE,BORDEAUX CEDEX,033,33072,LYCEE PROF PRIVE DES METIERS LA RUCHE
0331569B,LYCEE PROFESSIONNEL PRIVE,JEANNE D ARC,3 PLACE DE LA FRATERNITE,ST MEDARD DE GUIZIERES,033,33230,LYCEE PROFESSIONNEL PRIVE JEANNE D ARC
0292246J,ANTENNE DE CFA,LYCEE YVES THEPOT   CFAI,28 AVENUE YVES THEPOT,QUIMPER CEDEX,029,29334,ANTENNE DE CFA LYCEE YVES THEPOT   CFAI
0292250N,ANTENNE DE CFA  LYCEE LE LIKES,AIFAB,20 PLACE DE LA TOURBIE,QUIMPER CEDEX,029,29196,ANTENNE DE CFA  LYCEE LE LIKES AIFAB
0311360K,CRS PROMOTION PROFESSIONNELLE,DU LYCEE TECHNIQUE D ETAT,26 BOULEVARD DEODAT DE SEVERAC,TOULOUSE,031,31300,CRS PROMOTION PROFESSIONNELLE DU LYCEE TECHNIQUE D ETAT
0311361L,CRS PROMOTION PROFESSIONNELLE,DU LYCEE TECHNIQUE NATIONALISE,AVENUE DE LUCHON,GOURDAN POLIGNAN,031,31210,CRS PROMOTION PROFESSIONNELLE DU LYCEE TECHNIQUE NATIONALISE
0331591A,LYCEE TECHNOLOGIQUE PRIVE,BEL ORME,67  RUE DE BEL ORME,BORDEAUX,033,33000,LYCEE TECHNOLOGIQUE PRIVE BEL ORME
0331733E,LYCEE PROFESSIONNEL,CONDORCET,79 AVENUE DE LA REPUBLIQUE,ARCACHON,033,33120,LYCEE PROFESSIONNEL CONDORCET
0330011H,LYCEE PROFESSIONNEL,ANATOLE DE MONZIE,12 cours GAMBETTA,BAZAS,033,33430,LYCEE PROFESSIONNEL ANATOLE DE MONZIE
0300056Y,SECTION ENSEIGNT PROFESSIONNEL,LYCEE JEAN-BAPTISTE DUMAS,PLACE DE LA BELGIQUE,ALES CEDEX,030,30104,SECTION ENSEIGNT PROFESSIONNEL LYCEE JEAN-BAPTISTE DUMAS
0300057Z,LYCEE PROFESSIONNEL,GASTON DARBOUX,7 rue JULES RAIMU,NIMES CEDEX 2,030,30908,LYCEE PROFESSIONNEL GASTON DARBOUX
0330010G,LYCEE GENERAL ET TECHNOLOGIQUE,ANATOLE DE MONZIE,12 cours GAMBETTA,BAZAS,033,33430,LYCEE GENERAL ET TECHNOLOGIQUE ANATOLE DE MONZIE
0300984G,COURS DE PROMOTION SOCIALE,DU LYCEE D ETAT,CITE SCOL LES PRES SAINT JEAN,ALES,030,30100,COURS DE PROMOTION SOCIALE DU LYCEE D ETAT
0300987K,COURS PROMOTION PROF.,DU LYCEE TECHNIQUE D ETAT,17 RUE DHUODA,NIMES,030,30000,COURS PROMOTION PROF. DU LYCEE TECHNIQUE D ETAT
0312408Z,LYCEE GENERAL ET TECHNO. PRIVE,SALIEGE,3 rue BERNANOS,BALMA CEDEX,031,31131,LYCEE GENERAL ET TECHNO. PRIVE SALIEGE
0311970Y,LYCEE PROFESSIONNEL PRIVE,SAINTE-MARIE DE NEVERS,10  RUE DU PERIGORD,TOULOUSE CEDEX 7,031,31070,LYCEE PROFESSIONNEL PRIVE SAINTE-MARIE DE NEVERS
0311262D,LYCEE GEN.ET TECHNOL.AGRICOLE,DE TOULOUSE AUZEVILLE,2 ROUTE DE NARBONNE,CASTANET TOLOSAN CEDEX,031,31326,LYCEE GEN.ET TECHNOL.AGRICOLE DE TOULOUSE AUZEVILLE
0311267J,LYCEE PROFESSIONNEL AGRICOLE,COMPLEXE D'ENSEIGT AGRICOLE,,AUZEVILLE TOLOSANE,031,31320,LYCEE PROFESSIONNEL AGRICOLE COMPLEXE D'ENSEIGT AGRICOLE
0311268K,LYCEE PROFESSIONNEL AGRICOLE,EPLA SAINT-GAUDENS,16 RUE OLIVIER DE SERRES,ST GAUDENS CEDEX,031,31806,LYCEE PROFESSIONNEL AGRICOLE EPLA SAINT-GAUDENS
0311269L,LYCEE D ENS.PROF.AGRICOLE,CLG,,ST GAUDENS,031,31800,LYCEE D ENS.PROF.AGRICOLE CLG
0320039U,LYCEE GEN.ET TECHNOL.AGRICOLE,BEAULIEU-LAVACANT,ROUTE DE TARBES,AUCH CEDEX 9,032,32020,LYCEE GEN.ET TECHNOL.AGRICOLE BEAULIEU-LAVACANT
0312093G,LYCEE GENERAL ET TECHNOLOGIQUE,INTERNATIONAL VICTOR HUGO,BOULEVARD VICTOR HUGO,COLOMIERS CEDEX,031,31773,LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL VICTOR HUGO
0320067Z,LPO LYCEE DES METIERS,LE GARROS,1 BIS RUE DARWIN,AUCH CEDEX 9,032,32021,LPO LYCEE DES METIERS LE GARROS
0310044E,LYCEE POLYVALENT,DEODAT DE SEVERAC,26  BOULEVARD DEODAT DE SEVERAC,TOULOUSE CEDEX 3,031,31076,LYCEE POLYVALENT DEODAT DE SEVERAC
0310046G,LPO LYCEE DES METIERS,HOTELLERIE ET TOURISME,1  RUE DE L'ABBE JULES LEMIRE,TOULOUSE CEDEX 3,031,31026,LPO LYCEE DES METIERS HOTELLERIE ET TOURISME
0310047H,LYCEE GENERAL ET TECHNOLOGIQUE,OZENNE,9  RUE MERLY,TOULOUSE CEDEX 7,031,31070,LYCEE GENERAL ET TECHNOLOGIQUE OZENNE
0310052N,LP LYCEE DES METIERS,ROLAND GARROS,32  RUE MATHALY,TOULOUSE,031,31200,LP LYCEE DES METIERS ROLAND GARROS
0310053P,LP LYCEE DES METIERS,URBAIN VITRY,150 route DE LAUNAGUET,TOULOUSE CEDEX 2,031,31021,LP LYCEE DES METIERS URBAIN VITRY
0310054R,LYCEE PROFESSIONNEL,RENEE BONNET,1 allée DU LIEUTENANT LAFAY,TOULOUSE CEDEX 4,031,31432,LYCEE PROFESSIONNEL RENEE BONNET
0310056T,LP LYCEE DES METIERS,GABRIEL PERI,30  RUE GABRIEL PERI,TOULOUSE CEDEX 6,031,31013,LP LYCEE DES METIERS GABRIEL PERI
0301499S,LYCEE POLYVALENT PRIVE,D'ALZON SAINT-FELIX,6 RUE DE LA REPUBLIQUE,BEAUCAIRE,030,30300,LYCEE POLYVALENT PRIVE D'ALZON SAINT-FELIX
0301210C,LYCEE PROFESSIONNEL,VOLTAIRE,399  RUE BELLINI,NIMES CEDEX 2,030,30903,LYCEE PROFESSIONNEL VOLTAIRE
0320036R,LYCEE GENERAL,JOSEPH SAVERNE,5  AVENUE CLAUDE AUGE,L ISLE JOURDAIN,032,32600,LYCEE GENERAL JOSEPH SAVERNE
0311379F,CRS PROMOTION PROFESSIONNELLE,DU LYCEE HOTELIER,23 RUE DU CONSERVATOIRE,TOULOUSE,031,31000,CRS PROMOTION PROFESSIONNELLE DU LYCEE HOTELIER
0311270M,LYCEE AGRICOLE PRIVE,LA CADENE,RUE BUISSONNIERE,LABEGE,031,31670,LYCEE AGRICOLE PRIVE LA CADENE
0312744P,LYCEE POLYVALENT,JEAN-PIERRE VERNANT,9 chemin DE LA CEPETTE,PINS JUSTARET,031,31860,LYCEE POLYVALENT JEAN-PIERRE VERNANT
0312746S,LYCEE POLYVALENT,MARIE LOUISE DISSARD FRANCOISE,5  BOULEVARD ALAIN SAVARY,TOURNEFEUILLE,031,31170,LYCEE POLYVALENT MARIE LOUISE DISSARD FRANCOISE
0301608K,EMOP AUDIOVISUEL BUREAUTIQUE,LYCEE PHILIPPE LAMOUR,RUE DE L OCCITANIE,NIMES CEDEX 5,030,30001,EMOP AUDIOVISUEL BUREAUTIQUE LYCEE PHILIPPE LAMOUR
0301609L,EMOP REVETEMENT FINITIONS,LYCEE ALPHONSE DAUDET,3 BOULEVARD VICTOR HUGO,NIMES CEDEX 1,030,30039,EMOP REVETEMENT FINITIONS LYCEE ALPHONSE DAUDET
0312754A,LYCEE GENERAL,CLÉMENCE ROYER,3 avenue LUCIE AUBRAC,FONSORBES,031,31470,LYCEE GENERAL CLÉMENCE ROYER
0331547C,LYCEE PROFESSIONNEL PRIVE,DE LA COTE D ARGENT,46 BIS AVENUE DE LA LIBERATION,BIGANOS,033,33380,LYCEE PROFESSIONNEL PRIVE DE LA COTE D ARGENT
0331548D,LYCEE PROFESSIONNEL PRIVE,ST MICHEL,20  AVENUE GL DE GAULLE,BLANQUEFORT,033,33290,LYCEE PROFESSIONNEL PRIVE ST MICHEL
0330033G,LYCEE PROFESSIONNEL,DES MENUTS,36 rue DES DOUVES,BORDEAUX,033,33800,LYCEE PROFESSIONNEL DES MENUTS
0330060L,LP LYCEE DES METIERS,FLORA TRISTAN,Domaine DE LA CHAUSSE,CAMBLANES ET MEYNAC,033,33360,LP LYCEE DES METIERS FLORA TRISTAN
0330069W,LP LYCEE DES METIERS,LA MORLETTE,62 rue CAMILLE PELLETAN,CENON CEDEX,033,33151,LP LYCEE DES METIERS LA MORLETTE
0330082K,LP LYCEE DES METIERS,SUD GIRONDE,1 avenue DES RESISTANTS,LANGON CEDEX,033,33212,LP LYCEE DES METIERS SUD GIRONDE
0312696M,LYCEE GENERAL,PIERRE BOURDIEU,AVENUE DE VILLAUDRIC,FRONTON,031,31620,LYCEE GENERAL PIERRE BOURDIEU
0291808H,LYCEE PROF PRIVE DES METIERS,SAINT JOSEPH - SAINT MARC,61 RUE BAYARD,CONCARNEAU CEDEX,029,29187,LYCEE PROF PRIVE DES METIERS SAINT JOSEPH - SAINT MARC
0331882S,LYCEE PROFESSIONNEL,EMILE COMBES,23 rue EMILE COMBES,BEGLES CEDEX,033,33321,LYCEE PROFESSIONNEL EMILE COMBES
0332192D,LPO LYCEE DES METIERS,HOTEL.TOURISME GASCOGNE,15 RUE FRANCOIS RABELAIS,TALENCE CEDEX,033,33405,LPO LYCEE DES METIERS HOTEL.TOURISME GASCOGNE
0301612P,EMOP AGENCEMENT REVETEMENTS,LYCEE J B DUMAS,PLACE DE LA BELGIQUE,ALES CEDEX,030,30104,EMOP AGENCEMENT REVETEMENTS LYCEE J B DUMAS
0320652K,LYCEE PROFESSIONNEL PRIVE,ORATOIRE SAINTE-MARIE,50 BIS RUE VICTOR HUGO,AUCH CEDEX,032,32002,LYCEE PROFESSIONNEL PRIVE ORATOIRE SAINTE-MARIE
0300106C,LYCEE PROF PRIVE des METIERS,SAINTE-MARIE,IMPASSE DES RECOLLETS,BAGNOLS SUR CEZE CEDEX,030,30201,LYCEE PROF PRIVE des METIERS SAINTE-MARIE
0300109F,LYCEE PROFESSIONNEL PRIVE,PASTEUR,3 RUE PASTEUR,LA GRAND COMBE,030,30110,LYCEE PROFESSIONNEL PRIVE PASTEUR
0340920R,LYCEE PROF PRIVE des METIERS,TURGOT,94  RUE PIERRE FLOURENS,MONTPELLIER CEDEX 5,034,34098,LYCEE PROF PRIVE des METIERS TURGOT
0312059V,LYCEE PROFESSIONNEL PRIVE,BILLIERES,27  RUE INGRES,TOULOUSE,031,31000,LYCEE PROFESSIONNEL PRIVE BILLIERES
0312061X,LYCEE TECHNOLOGIQUE PRIVE,DE LA PHOTOGRAPHIE,50 ROUTE DE NARBONNE,AUZEVILLE TOLOSANE,031,31320,LYCEE TECHNOLOGIQUE PRIVE DE LA PHOTOGRAPHIE
0312062Y,LYCEE PROF PRIVE des METIERS,ISSEC PIGIER,8  RUE FRANCOISE D EAUBONNE,TOULOUSE,031,31200,LYCEE PROF PRIVE des METIERS ISSEC PIGIER
0320009L,LYCEE GENERAL ET TECHNOLOGIQUE,BOSSUET,42  RUE JULES FERRY,CONDOM,032,32100,LYCEE GENERAL ET TECHNOLOGIQUE BOSSUET
0320557G,LYCEE PROFESSIONNEL AGRICOLE,MIRANDE,DOMAINE DE VALENTEES,MIRANDE,032,32300,LYCEE PROFESSIONNEL AGRICOLE MIRANDE
0331560S,LYCEE PROFESSIONNEL PRIVE,ST ANDRE,,BORDEAUX,033,33800,LYCEE PROFESSIONNEL PRIVE ST ANDRE
0331495W,LYCEE GEN.ET TECHNOL.PRIVE,ASSOMPTION - STE CLOTILDE,370 boulevard PRESIDENT WILSON,BORDEAUX CEDEX,033,33073,LYCEE GEN.ET TECHNOL.PRIVE ASSOMPTION - STE CLOTILDE
0340076Y,LYCEE GENERAL ET TECHNOLOGIQUE,IRENE ET FREDERIC JOLIOT CURIE,105 rue DU DAUPHINE,SETE,034,34200,LYCEE GENERAL ET TECHNOLOGIQUE IRENE ET FREDERIC JOLIOT CURIE
0331636Z,LYCEE GENERAL,JEAN MOULIN,1  BOULEVARD FRANCOIS MAURIAC,LANGON,033,33210,LYCEE GENERAL JEAN MOULIN
0331460H,LYCEE PROFESSIONNEL,LES CHARTRONS,130  RUE DU JARDIN PUBLIC,BORDEAUX CEDEX,033,33026,LYCEE PROFESSIONNEL LES CHARTRONS
0331491S,LYCEE GENERAL PRIVE,ALBERT LE GRAND,189 rue DE SAINT GENES,BORDEAUX,033,33000,LYCEE GENERAL PRIVE ALBERT LE GRAND
0330003Z,LYCEE GENERAL ET TECHNOLOGIQUE,GRAND AIR,1  AVENUE DR LORENTZ MONOD,ARCACHON,033,33120,LYCEE GENERAL ET TECHNOLOGIQUE GRAND AIR
0320040V,LYCEE PROFESSIONNEL,PARDAILHAN,CHEMIN DE BARON,AUCH CEDEX,032,32008,LYCEE PROFESSIONNEL PARDAILHAN
0320051G,LYCEE GENERAL ET TECHNO. PRIVE,ORATOIRE SAINTE-MARIE,50 BIS RUE VICTOR HUGO,AUCH CEDEX,032,32002,LYCEE GENERAL ET TECHNO. PRIVE ORATOIRE SAINTE-MARIE
0340078A,LP LYCEE DES METIERS,CHARLES DE GAULLE,38  RUE ROBESPIERRE,SETE,034,34200,LP LYCEE DES METIERS CHARLES DE GAULLE
